id; age; workClass; education; martialStatus; occupation; race; nativeCountry; salary
9277;0-120;Government;*;*;*;Other;Female;North America;*
9554;0-120;Government;*;*;*;Other;Female;North America;*
5624;0-120;Non-Government;*;*;*;Amer-Indian-Eskimo;Female;*;>50K
18189;0-120;Non-Government;*;*;*;Amer-Indian-Eskimo;Female;*;>50K
12300;0-120;Local-gov;*;*;*;Other;Male;*;*
19305;0-120;Local-gov;*;*;*;Other;Male;*;*
5530;0-120;State-gov;*;*;*;Black;Female;United-States;>50K
8251;0-120;State-gov;*;*;*;Black;Female;United-States;>50K
10007;0-120;State-gov;*;Married-civ-spouse;*;Black;Female;*;<=50K
11722;0-120;State-gov;*;Married-civ-spouse;*;Black;Female;*;<=50K
313;0-120;Non-Government;*;Divorced;*;Black;Female;United-States;*
13221;0-120;Non-Government;*;Divorced;*;Black;Female;United-States;*
11061;0-120;Self-emp-inc;*;spouse not present;*;Black;Male;*;<=50K
11364;0-120;Self-emp-inc;*;spouse not present;*;Black;Male;*;<=50K
9257;0-120;Without-pay;*;*;*;White;Male;United-States;<=50K
15695;0-120;Without-pay;*;*;*;White;Male;United-States;<=50K
2526;0-120;Local-gov;*;*;*;Asian-Pac-Islander;Female;*;*
11354;0-120;Local-gov;*;*;*;Asian-Pac-Islander;Female;*;*
7829;0-120;Federal-gov;*;*;*;Asian-Pac-Islander;Female;*;<=50K
12221;0-120;Federal-gov;*;*;*;Asian-Pac-Islander;Female;*;<=50K
655;0-120;State-gov;Higher education;*;*;Asian-Pac-Islander;Female;*;*
3184;0-120;State-gov;Higher education;*;*;Asian-Pac-Islander;Female;*;*
7057;0-120;Self-emp-not-inc;*;*;*;Asian-Pac-Islander;Female;*;*
7606;0-120;Self-emp-not-inc;*;*;*;Asian-Pac-Islander;Female;*;*
1901;0-120;Without-pay;*;*;*;White;Female;United-States;<=50K
16812;0-120;Without-pay;*;*;*;White;Female;United-States;<=50K
2367;0-120;Self-emp-inc;*;spouse not present;*;White;Female;*;>50K
6595;0-120;Self-emp-inc;*;spouse not present;*;White;Female;*;>50K
3040;0-120;Local-gov;*;Never-married;*;Black;Female;United-States;>50K
9599;0-120;Local-gov;*;Never-married;*;Black;Female;United-States;>50K
2128;0-120;Local-gov;*;Married-civ-spouse;*;Black;Female;North America;>50K
5227;0-120;Local-gov;*;Married-civ-spouse;*;Black;Female;North America;>50K
10151;0-120;Local-gov;*;Married-civ-spouse;*;Black;Female;United-States;<=50K
13361;0-120;Local-gov;*;Married-civ-spouse;*;Black;Female;United-States;<=50K
5290;0-120;Self-emp-not-inc;Higher education;*;*;Other;Male;*;*
5586;0-120;Self-emp-not-inc;Higher education;*;*;Other;Male;*;*
3343;0-120;Self-emp-inc;*;*;*;Other;Male;North America;*
8710;0-120;Self-emp-inc;*;*;*;Other;Male;North America;*
8124;31-40;Private;*;*;*;Other;Male;*;>50K
23110;31-40;Private;*;*;*;Other;Male;*;>50K
3110;0-120;Federal-gov;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
4617;0-120;Federal-gov;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
2943;0-120;State-gov;Higher education;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
6560;0-120;State-gov;Higher education;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
11;0-120;State-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
3812;0-120;State-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
3665;0-120;Self-emp-not-inc;*;spouse not present;*;Black;Male;North America;>50K
4381;0-120;Self-emp-not-inc;*;spouse not present;*;Black;Male;North America;>50K
3268;0-120;Private;*;Never-married;*;Black;Male;*;>50K
12519;0-120;Private;*;Never-married;*;Black;Male;*;>50K
4035;0-120;Self-emp-not-inc;*;spouse not present;*;White;Male;*;>50K
6590;0-120;Self-emp-not-inc;*;spouse not present;*;White;Male;*;>50K
4112;0-120;State-gov;*;*;*;Amer-Indian-Eskimo;Female;United-States;*
5127;0-120;State-gov;*;*;*;Amer-Indian-Eskimo;Female;United-States;*
1281;0-120;Federal-gov;Higher education;*;*;Asian-Pac-Islander;Female;*;>50K
2330;0-120;Federal-gov;Higher education;*;*;Asian-Pac-Islander;Female;*;>50K
162;0-120;Self-emp-inc;*;spouse not present;*;Asian-Pac-Islander;Female;*;<=50K
4452;0-120;Self-emp-inc;*;spouse not present;*;Asian-Pac-Islander;Female;*;<=50K
1327;0-120;Private;*;spouse not present;*;Asian-Pac-Islander;Female;*;>50K
9017;0-120;Private;*;spouse not present;*;Asian-Pac-Islander;Female;*;>50K
6032;0-120;Private;*;Never-married;*;Asian-Pac-Islander;Female;*;>50K
8497;0-120;Private;*;Never-married;*;Asian-Pac-Islander;Female;*;>50K
50;0-120;Private;Higher education;Married-civ-spouse;*;Other;Female;North America;*
7891;0-120;Private;Higher education;Married-civ-spouse;*;Other;Female;North America;*
3129;0-120;Federal-gov;*;spouse not present;*;White;Female;*;>50K
6120;0-120;Federal-gov;*;spouse not present;*;White;Female;*;>50K
12909;0-120;Self-emp-not-inc;*;spouse not present;*;White;Female;*;>50K
15352;0-120;Self-emp-not-inc;*;spouse not present;*;White;Female;*;>50K
8454;0-120;Private;*;Married-AF-spouse;*;White;Female;United-States;>50K
15365;0-120;Private;*;Married-AF-spouse;*;White;Female;United-States;>50K
4887;0-120;Federal-gov;Professional Education;*;*;Black;Female;United-States;<=50K
10089;0-120;Federal-gov;Professional Education;*;*;Black;Female;United-States;<=50K
15783;0-120;Federal-gov;*;spouse not present;*;Black;Female;United-States;>50K
16621;0-120;Federal-gov;*;spouse not present;*;Black;Female;United-States;>50K
554;31-40;Federal-gov;Higher education;*;*;Black;Female;United-States;>50K
5027;31-40;Federal-gov;Higher education;*;*;Black;Female;United-States;>50K
12314;0-120;Local-gov;Higher education;Married-civ-spouse;*;Black;Female;United-States;>50K
19193;0-120;Local-gov;Higher education;Married-civ-spouse;*;Black;Female;United-States;>50K
5774;0-120;Local-gov;*;Widowed;*;Black;Female;United-States;<=50K
11973;0-120;Local-gov;*;Widowed;*;Black;Female;United-States;<=50K
2469;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;Black;Female;North America;*
9509;0-120;Self-emp-not-inc;High School;Married-civ-spouse;*;Black;Female;North America;*
11178;41-50;Private;*;spouse not present;*;Black;Female;United-States;>50K
26593;41-50;Private;*;spouse not present;*;Black;Female;United-States;>50K
5750;0-120;Private;*;Divorced;*;Black;Female;United-States;>50K
21456;0-120;Private;*;Divorced;*;Black;Female;United-States;>50K
8760;0-120;Private;Higher education;Divorced;*;Black;Female;United-States;>50K
12531;0-120;Private;Higher education;Divorced;*;Black;Female;United-States;>50K
1774;0-120;Private;High School;spouse present;*;Black;Female;United-States;>50K
2205;0-120;Private;High School;spouse present;*;Black;Female;United-States;>50K
5036;0-120;Private;Professional Education;Married-civ-spouse;*;Black;Female;North America;<=50K
5811;0-120;Private;Professional Education;Married-civ-spouse;*;Black;Female;North America;<=50K
4457;0-120;Government;*;*;*;Other;Male;United-States;<=50K
10092;0-120;Government;*;*;*;Other;Male;United-States;<=50K
1029;0-120;Self-emp-inc;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
23564;0-120;Self-emp-inc;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
917;0-120;Self-emp-inc;*;*;*;Asian-Pac-Islander;Male;*;>50K
3909;0-120;Self-emp-inc;*;*;*;Asian-Pac-Islander;Male;*;>50K
17834;0-120;Self-emp-not-inc;*;spouse not present;*;Asian-Pac-Islander;Male;*;>50K
22289;0-120;Self-emp-not-inc;*;spouse not present;*;Asian-Pac-Islander;Male;*;>50K
1975;0-120;Private;*;spouse not present;*;Asian-Pac-Islander;Male;*;>50K
3064;0-120;Private;*;spouse not present;*;Asian-Pac-Islander;Male;*;>50K
7461;0-120;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
12071;0-120;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;<=50K
2259;0-120;Local-gov;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
2898;0-120;Local-gov;*;spouse not present;*;Asian-Pac-Islander;Male;*;<=50K
5012;0-120;State-gov;*;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
8075;0-120;State-gov;*;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
7904;0-120;Self-emp-inc;*;Married-civ-spouse;*;Black;Male;North America;<=50K
20722;0-120;Self-emp-inc;*;Married-civ-spouse;*;Black;Male;North America;<=50K
3559;0-120;Private;Higher education;Divorced;*;Black;Male;*;>50K
11110;0-120;Private;Higher education;Divorced;*;Black;Male;*;>50K
854;41-50;State-gov;*;Divorced;*;White;Male;*;>50K
4928;41-50;State-gov;*;Divorced;*;White;Male;*;>50K
11847;0-120;Local-gov;*;Never-married;*;White;Male;North America;>50K
11906;0-120;Local-gov;*;Never-married;*;White;Male;North America;>50K
645;0-120;Self-emp-inc;*;Separated;*;White;Male;United-States;>50K
3395;0-120;Self-emp-inc;*;Separated;*;White;Male;United-States;>50K
2505;0-120;Self-emp-not-inc;*;Widowed;Technical;White;Male;*;>50K
6746;0-120;Self-emp-not-inc;*;Widowed;Technical;White;Male;*;>50K
2859;0-120;Self-emp-not-inc;Professional Education;Never-married;*;White;Male;*;>50K
2933;0-120;Self-emp-not-inc;Professional Education;Never-married;*;White;Male;*;>50K
5011;31-40;Self-emp-not-inc;*;Never-married;*;White;Male;*;<=50K
6153;31-40;Self-emp-not-inc;*;Never-married;*;White;Male;*;<=50K
4948;0-120;Federal-gov;*;*;*;Amer-Indian-Eskimo;Female;United-States;*
7042;0-120;Federal-gov;*;*;*;Amer-Indian-Eskimo;Female;United-States;*
12220;41-50;Local-gov;*;*;*;Amer-Indian-Eskimo;Female;United-States;*
19564;41-50;Local-gov;*;*;*;Amer-Indian-Eskimo;Female;United-States;*
8388;31-40;State-gov;Higher education;spouse not present;*;Asian-Pac-Islander;Female;*;<=50K
21911;31-40;State-gov;Higher education;spouse not present;*;Asian-Pac-Islander;Female;*;<=50K
4066;0-120;Self-emp-not-inc;HS-grad;*;*;Asian-Pac-Islander;Female;*;*
6493;0-120;Self-emp-not-inc;HS-grad;*;*;Asian-Pac-Islander;Female;*;*
2003;0-120;Private;*;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;>50K
3879;0-120;Private;*;Married-civ-spouse;*;Asian-Pac-Islander;Female;*;>50K
3743;0-120;Private;*;Divorced;*;Other;Female;*;<=50K
5399;0-120;Private;*;Divorced;*;Other;Female;*;<=50K
530;41-50;Private;*;Divorced;*;Other;Female;*;<=50K
3130;41-50;Private;*;Divorced;*;Other;Female;*;<=50K
2887;0-120;Federal-gov;*;spouse present;*;White;Female;United-States;<=50K
14387;0-120;Federal-gov;*;spouse present;*;White;Female;United-States;<=50K
1364;0-120;Federal-gov;Higher education;Never-married;*;White;Female;*;<=50K
4358;0-120;Federal-gov;Higher education;Never-married;*;White;Female;*;<=50K
1435;0-120;Self-emp-inc;High School;Married-civ-spouse;*;White;Female;*;<=50K
3010;0-120;Self-emp-inc;High School;Married-civ-spouse;*;White;Female;*;<=50K
4509;0-120;Self-emp-inc;*;Never-married;*;White;Female;*;<=50K
14379;0-120;Self-emp-inc;*;Never-married;*;White;Female;*;<=50K
947;31-40;Self-emp-inc;*;Married-civ-spouse;*;White;Female;*;>50K
5285;31-40;Self-emp-inc;*;Married-civ-spouse;*;White;Female;*;>50K
37;0-120;Private;*;Married-AF-spouse;Other;White;Female;United-States;<=50K
13034;0-120;Private;*;Married-AF-spouse;Other;White;Female;United-States;<=50K
8058;46-50;Federal-gov;High School;*;*;Black;Female;North America;<=50K
9548;46-50;Federal-gov;High School;*;*;Black;Female;North America;<=50K
7234;0-120;State-gov;*;spouse not present;*;Black;Female;North America;<=50K
21533;0-120;State-gov;*;spouse not present;*;Black;Female;North America;<=50K
3179;0-120;Self-emp-not-inc;High School;Never-married;*;Black;Female;*;<=50K
3548;0-120;Self-emp-not-inc;High School;Never-married;*;Black;Female;*;<=50K
630;0-120;Non-Government;Higher education;Never-married;*;Black;Female;United-States;<=50K
5313;0-120;Non-Government;Higher education;Never-married;*;Black;Female;United-States;<=50K
9244;0-120;Private;*;Never-married;*;Black;Female;United-States;>50K
10962;0-120;Private;*;Never-married;*;Black;Female;United-States;>50K
2228;0-120;Private;Professional Education;Married-civ-spouse;*;Black;Female;United-States;>50K
4545;0-120;Private;Professional Education;Married-civ-spouse;*;Black;Female;United-States;>50K
5626;0-120;Private;*;Married-spouse-absent;*;Black;Female;North America;<=50K
6630;0-120;Private;*;Married-spouse-absent;*;Black;Female;North America;<=50K
4;0-120;Private;Bachelors;Married-civ-spouse;*;Black;Female;North America;<=50K
251;0-120;Private;Bachelors;Married-civ-spouse;*;Black;Female;North America;<=50K
3350;0-120;Private;*;Married-spouse-absent;*;Other;Male;*;<=50K
6057;0-120;Private;*;Married-spouse-absent;*;Other;Male;*;<=50K
13932;0-120;State-gov;*;*;*;Amer-Indian-Eskimo;Male;United-States;<=50K
14775;0-120;State-gov;*;*;*;Amer-Indian-Eskimo;Male;United-States;<=50K
6184;0-120;State-gov;*;*;*;Amer-Indian-Eskimo;Male;United-States;>50K
20091;0-120;State-gov;*;*;*;Amer-Indian-Eskimo;Male;United-States;>50K
10712;0-120;Federal-gov;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;<=50K
14112;0-120;Federal-gov;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;<=50K
10033;0-120;Private;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;>50K
15907;0-120;Private;*;spouse not present;*;Amer-Indian-Eskimo;Male;United-States;>50K
21112;0-120;Private;*;spouse not present;*;Amer-Indian-Eskimo;Male;*;<=50K
22618;0-120;Private;*;spouse not present;*;Amer-Indian-Eskimo;Male;*;<=50K
1095;0-120;Self-emp-not-inc;*;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
4596;0-120;Self-emp-not-inc;*;Never-married;*;Asian-Pac-Islander;Male;*;<=50K
8633;0-120;Private;*;Never-married;Technical;Asian-Pac-Islander;Male;*;>50K
10590;0-120;Private;*;Never-married;Technical;Asian-Pac-Islander;Male;*;>50K
2249;41-50;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
7060;41-50;Federal-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
1864;0-120;Local-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
10188;0-120;Local-gov;*;Married-civ-spouse;*;Asian-Pac-Islander;Male;*;>50K
